parameter,peer number,instance,avg,med,max,min
network-out-peers,4,peer-1-crdt-cs,-21.32978077114428,-22.88234,-8.762152,-66.18831
network-out-peers,4,peer-2-crdt-p2p,-93.75839167164179,-83.87458,-8.766956,-512.0082
network-out-peers,4,peer-1-crdt-p2p,-94.19968585074625,-83.06841,-8.766629,-511.7721
network-out-peers,4,peer-2-ot,-31793.870828199008,-1698.763,-8.767231,-117506.76
network-out-peers,4,peer-1-ot,-25951.07469318408,-1775.954,-8.765399,-112188.17
network-out,4,crdt-cs,-193.90368046766167,-250.139,-8.766469,-838.3291
network-out,4,crdt-p2p,-15.787662303482588,-9.132089,-8.767236,-348.7331
network-out,4,ot-ws,-84932.31488105473,-11623.38,-8.767343,-306688.3
cpu-peers,8,peer-2-crdt-cs,56.44287711442786,34.4969,148.1369,0.0
cpu-peers,8,peer-1-crdt-cs,57.33811144278607,36.1263,150.8896,0.0
cpu-peers,8,peer-2-crdt-p2p,61.883013631840804,37.9392,142.4632,0.6669
cpu-peers,8,peer-1-crdt-p2p,62.6910855721393,37.7238,152.6023,0.0
cpu-peers,8,peer-2-ot,64.2734343283582,45.1495,177.8561,0.0
cpu-peers,8,peer-1-ot,66.24131243781093,53.3506,164.8827,7.1434
cpu,8,crdt-cs,1.6764333333333332,1.0001,10.0003,0.0
cpu,8,crdt-p2p,0.10048905472636818,0.0,2.0,0.0
cpu,8,ot-ws,24.327889552238805,19.9898,59.7193,0.0
mem-peers,8,peer-2-crdt-cs,20.53997761194031,20.726500000000016,27.226500000000016,3.441400000000016
mem-peers,8,peer-1-crdt-cs,21.3540119402985,22.16409999999999,27.95319999999998,2.394599999999997
mem-peers,8,peer-2-crdt-p2p,21.815859203980096,21.390600000000006,31.390600000000006,5.242199999999997
mem-peers,8,peer-1-crdt-p2p,20.79412686567164,20.878899999999987,29.003899999999987,3.2265999999999906
mem-peers,8,peer-2-ot,36.52224427860696,38.29679999999999,63.78899999999999,1.6913999999999874
mem-peers,8,peer-1-ot,36.14873880597013,26.515599999999978,68.27729999999997,1.2772999999999968
mem,8,crdt-cs,9.53696276119403,10.058591999999999,14.296871999999999,0.22656199999999949
mem,8,crdt-p2p,0.40350967164179136,0.16015600000000063,1.4570310000000006,-0.7929689999999994
mem,8,ot-ws,69.98571589552238,80.183594,114.410154,0.328125
network-in-peers,8,peer-2-crdt-cs,31.37202023383085,18.00224,395.933,8.435353
network-in-peers,8,peer-1-crdt-cs,30.565374417910455,17.82433,403.5551,8.75026
network-in-peers,8,peer-2-crdt-p2p,231.35606718407956,109.4505,745.6308,8.702883
network-in-peers,8,peer-1-crdt-p2p,227.60160335323383,110.30538,756.0438,8.754241
network-in-peers,8,peer-2-ot,80.1689965074627,52.63273,448.9447,8.703379
network-in-peers,8,peer-1-ot,94.6753378756219,95.7009,360.1158,8.740008
network-in,8,crdt-cs,324.1875756268657,173.1327,1012.9514,8.768108
network-in,8,crdt-p2p,60.723941223880594,11.700286,634.1029,8.767421
network-in,8,ot-ws,308540.8676487562,244085.8,899116.3,536.1462
network-out-peers,8,peer-2-crdt-cs,-18.588697129353232,-12.592409,-8.435353,-59.04466
network-out-peers,8,peer-1-crdt-cs,-18.88012057711443,-13.346089,-8.75026,-58.34105
network-out-peers,8,peer-2-crdt-p2p,-223.86355594527362,-102.62678,-8.702883,-751.575
network-out-peers,8,peer-1-crdt-p2p,-223.3897511094527,-103.68512,-8.754241,-755.6831
network-out-peers,8,peer-2-ot,-13850.637000786071,-5096.875,-8.703379,-74914.81
network-out-peers,8,peer-1-ot,-22837.661092432838,-4614.79,-8.740008,-137142.55
network-out,8,crdt-cs,-391.6619090696517,-205.8918,-8.768108,-1167.7846
network-out,8,crdt-p2p,-83.11497146268655,-11.307498,-8.767421,-981.8689
network-out,8,ot-ws,-156178.27873034828,-123385.63,-325.6794,-454497.9
